"word","sentiment"
"bullanguero","negative"
"bullicio","negative"
"bunuelo","negative"
"burlar","negative"
"burro","negative"
"caballeria","positive"
"caballerosidad","positive"
"cabezota","negative"
"cabreado","negative"
"caca","negative"
"cacao","negative"
"cagada","negative"
"cagarria","negative"
"caida","negative"
"calamidad","negative"
"calamitoso","negative"
"calavera","negative"
"calido","positive"
"calmado","positive"
"calmo","positive"
"calvatrueno","negative"
"camorra","negative"
"camorrista","negative"
"candido","positive"
"cantada","negative"
"cante","negative"
"caos","negative"
"capaz","positive"
"capital","positive"
"caradura","negative"
"cardenal","negative"
"carecer","positive"
"carga","negative"
"cargante","negative"
"carinoso","positive"
"carniceria","negative"
"caro","negative"
"cascarrabias","negative"
"castigo","negative"
"casual","positive"
"cataclismo","negative"
"catastrofe","negative"
"catastrofico","negative"
"caucion","negative"
"caustico","negative"
"cautivador","positive"
"cautivar","positive"
"ceder","negative"
"celebracion","positive"
"celebrar","positive"
"celebre","positive"
"censurar","negative"
"ceporro","negative"
"cernicalo","negative"
"certero","positive"
"cese","positive"
"chachi","negative"
"chalado","negative"
"charro","negative"
"chasco","negative"
"chic","positive"
"chiflado","negative"
"chillon","negative"
"chismorreo","negative"
"chocar","negative"
"choque","negative"
"chufleta","negative"
"cinismo","negative"
"cipote","negative"
"circunspeccion","positive"
"civilizado","positive"
"clamoroso","positive"
"codicioso","negative"
"coger","negative"
"coherente","positive"
"coincidencia","positive"
"colerico","negative"
"coligado","positive"
"colmado","positive"
"combativo","negative"
"comodidad","positive"
"compasion","positive"
"competente","positive"
"complaciente","positive"
"complicacion","negative"
"comprensible","positive"
"comprometer","negative"
"comun","negative"
"conceder","negative"
"concepcion","positive"
"conciencia","positive"
"condescendencia","negative"
"confiabilidad","positive"
"confidente","positive"
"conflicto","negative"
"confrontacion","negative"
"congoja","negative"
"conmiseracion","negative"
"conmocion","negative"
"conocido","positive"
"consagrar","positive"
"consagrarse","positive"
"consciencia","positive"
"conseguir","positive"
"consideracion","positive"
"considerado","positive"
"constante","positive"
"consternado","negative"
"consternar","negative"
"consumado","positive"
"contradiccion","negative"
"contraerse","negative"
"contrariedad","negative"
"contrario","negative"
"contratiempo","negative"
"contundente","positive"
"conturbar","negative"
"contusion","negative"
"copete","negative"
"copioso","positive"
"coraje","positive"
"cordial","positive"
"corrupto","negative"
"cortante","negative"
"corto","negative"
"crack","positive"
"craso","negative"
"creativo","positive"
"crecer","positive"
"creciente","positive"
"credibilidad","positive"
"creible","positive"
"criatura","negative"
"criminal","negative"
"cruel","negative"
"cuento","negative"
"cuestionable","negative"
"cuita","negative"
"cuitado","negative"
"culpabilidad","negative"
"cultivado","positive"
"culto","positive"
"dadivoso","positive"
"danar","negative"
"danino","negative"
"dano","negative"
"danoso","negative"
"debacle","negative"
"debil","negative"
"decaido","negative"
"decepcion","negative"
"dechado","positive"
"decidido","positive"
"dedicar","positive"
"defecto","negative"
"deferencia","positive"
"deficiencia","negative"
"deficiente","negative"
"degeneracion","negative"
"delatar","negative"
"deleitoso","positive"
"deletereo","negative"
"delicadeza","positive"
"delicado","negative"
"delicioso","positive"
"delincuente","negative"
"delirio","negative"
"demente","negative"
"demoler","negative"
"demonio","negative"
"denegacion","negative"
"deplorable","negative"
"deplorar","negative"
"depre","negative"
"depresivo","negative"
"deprimente","negative"
"deprimido","negative"
"deprimir","negative"
"derribar","negative"
"derrocar","negative"
"derroche","positive"
"desabrido","negative"
"desabrigo","negative"
"desafecto","negative"
"desafilado","negative"
"desafio","negative"
"desafortunado","negative"
"desagradable","negative"
"desagradar","negative"
"desagradecido","negative"
"desagrado","negative"
"desahogo","positive"
"desalentado","negative"
"desalentador","negative"
